#NAMES	IB1	IB2	IB3	IB4	IB5	IB6	IB7	IB8	IB9	IB10
nhaA	0.391000		0.154000	0.295000		-0.157000	-0.122000	0.006000	0.250000	0.487000
betB	-0.132000	-0.565000	-0.190000	0.002000	-0.258000	-0.322000	-0.060000	-0.230000	-0.167000	-0.163000
betB	-0.041000	0.082000	0.177000	0.053000	-0.445000	-0.002000	-0.192000	-0.201000	-0.129000	-0.163000
yacF	0.184000	0.215000	-0.092000	-0.116000	-0.047000	0.001000	-0.133000	-0.084000	0.083000	-0.033000
yacF	0.239000	0.233000	-0.154000	0.133000	0.084000	0.098000	-0.082000	-0.120000	0.149000	0.104000
yaeC	-0.071000	0.102000	-0.079000	-0.047000	0.120000	0.111000	-0.026000	0.074000	0.180000	0.171000
yaeC	-0.030000	-0.001000	0.029000	0.094000	0.088000	0.056000	-0.002000	-0.023000	0.223000	0.130000
aceE	0.397000	0.225000			0.143000	0.177000	0.279000	0.213000	0.288000	0.345000
aceE	0.346000	0.320000			0.260000	0.168000	0.280000	0.235000	0.341000	0.391000
dnaQ	0.258000	0.205000	-0.043000		0.374000	0.358000	-0.032000	0.001000	-0.112000	0.143000
dnaQ	0.271000	-0.090000	0.067000		0.078000	0.247000	0.027000	0.075000	0.138000	0.045000
talB		-0.203000		-0.257000	-0.275000	0.116000	0.168000			
talB		0.109000		-0.028000	-0.129000	-0.121000	0.062000			
ykgB		-0.189000	0.404000	-0.277000				-0.076000		
ykgB		0.124000	-0.024000	0.079000				0.097000		
nhaR	-0.606000	-0.951000	0.384000	-0.012000		0.276000	-0.176000	-0.132000	-0.402000	-0.258000
nhaR	0.266000	-0.093000	-0.104000	0.083000		-0.224000	-0.072000	0.198000	-0.057000	0.143000
betI	-0.030000	0.055000		-0.377000	-0.019000	0.336000	-0.070000		-0.211000	-0.127000
betI	-0.044000	0.029000		-0.115000	0.065000	0.013000	0.031000		0.038000	-0.100000
yacE			-0.147000	-0.200000		0.024000	-0.086000	-0.063000	0.052000	
